14:31:06.522 [main] INFO  api.test.UserTest - ************** Creating User ********
14:31:06.653 [main] INFO  api.test.UserTest - ************** Getting User ********
14:31:06.986 [main] INFO  api.test.UserTest - ************** Upadting User ********
14:31:07.260 [main] INFO  api.test.UserTest - **************  User Updated ********
14:31:07.509 [main] INFO  api.test.UserTest - ************** Deleting User ********
14:31:07.806 [main] INFO  api.test.UserTest - ************** Deleted User ********
14:35:09.459 [main] DEBUG api.test.UserTest - debugging...
14:35:15.335 [main] INFO  api.test.UserTest - ************** Creating User ********
14:35:15.532 [main] INFO  api.test.UserTest - ************** Getting User ********
14:35:15.961 [main] INFO  api.test.UserTest - ************** Upadting User ********
14:35:16.275 [main] INFO  api.test.UserTest - **************  User Updated ********
14:35:16.559 [main] INFO  api.test.UserTest - ************** Deleting User ********
14:35:16.838 [main] INFO  api.test.UserTest - ************** Deleted User ********
10:58:45.685 [main] DEBUG api.test.UserTest2 - debugging...
10:58:47.504 [main] INFO  api.test.UserTest2 - ************** Creating User ********
10:58:47.553 [main] INFO  api.test.UserTest2 - ************** Getting User ********
10:58:47.813 [main] INFO  api.test.UserTest2 - ************** Upadting User ********
10:58:48.043 [main] INFO  api.test.UserTest2 - **************  User Updated ********
10:58:48.266 [main] INFO  api.test.UserTest2 - ************** Deleting User ********
10:58:48.482 [main] INFO  api.test.UserTest2 - ************** Deleted User ********
11:42:17.873 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
11:42:17.875 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
11:42:17.927 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
11:42:17.929 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
11:42:17.931 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
11:42:17.975 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
11:42:17.976 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
11:42:17.978 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
11:42:18.017 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
11:42:18.019 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
11:42:18.020 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
11:42:18.057 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
11:42:18.060 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
